iter	Logloss
0	0.668685925
1	0.6530710534
2	0.640523475
3	0.631496232
4	0.6212980814
5	0.6149072516
6	0.6111433431
7	0.6062429235
8	0.6019141554
9	0.5988302474
10	0.5959900549
11	0.5930658695
12	0.5911727308
13	0.5859756195
14	0.5845560829
15	0.5820273549
16	0.580210222
17	0.5772336868
18	0.5760223749
19	0.5746088716
20	0.5725499028
21	0.5704772266
22	0.5671979189
23	0.5658303545
24	0.5628127948
25	0.560928256
26	0.5600424463
27	0.5583383827
28	0.5573269471
29	0.5558642763
30	0.5544443315
31	0.5529761569
32	0.5521456584
33	0.5520875697
34	0.5506116426
35	0.549632893
36	0.5492130069
37	0.5472668875
38	0.5459828143
39	0.543866481
40	0.5424069193
41	0.5412695115
42	0.5399142998
43	0.5386942365
44	0.537830664
45	0.5371968304
46	0.5357675506
47	0.5333619127
48	0.5323295204
49	0.5320373416
50	0.5310395942
51	0.5293370893
52	0.5285447812
53	0.528434779
54	0.5273624928
55	0.5261075856
56	0.5255916569
57	0.5252786427
58	0.5252309602
59	0.523979277
60	0.5232436814
61	0.5218861172
62	0.5207726036
63	0.5193590684
64	0.5182712052
65	0.5177275528
66	0.5177180508
67	0.5158140011
68	0.514055368
69	0.5136990083
70	0.5122975295
71	0.5111339189
72	0.5099294915
73	0.508828814
74	0.5082822479
75	0.5067824219
76	0.5041380989
77	0.5032450247
78	0.5027195227
79	0.5026950015
80	0.5021783252
81	0.5018741312
82	0.5016279126
83	0.5014550844
84	0.4996627176
85	0.49867854
86	0.4981333156
87	0.497575151
88	0.4973631827
89	0.4968726672
90	0.4953003596
91	0.494870778
92	0.4947181114
93	0.4935732001
94	0.4927898218
95	0.4897501905
96	0.489439064
97	0.4894215296
98	0.4879588667
99	0.4879359781
100	0.4868795577
101	0.4866745182
102	0.4859920561
103	0.4856388315
104	0.4854541503
105	0.4841244822
106	0.4836400869
107	0.4819649131
108	0.4819606611
109	0.4817994401
110	0.4807425832
111	0.4798897144
112	0.4786307453
113	0.4772338716
114	0.4768127459
115	0.4763396321
116	0.4762721775
117	0.4753212241
118	0.4752506748
119	0.4737335126
120	0.4733209998
121	0.4720337149
122	0.4710579741
123	0.4698575868
124	0.4695772865
125	0.4684019139
126	0.4682890248
127	0.4676692575
128	0.4675177851
129	0.4674833431
130	0.4667993709
131	0.4654176792
132	0.464781808
133	0.4643519881
134	0.4642156717
135	0.4633765197
136	0.462881853
137	0.4625205366
138	0.4614661473
139	0.4604989648
140	0.4604964357
141	0.4603706337
142	0.459611806
143	0.459088566
144	0.4589888217
145	0.4584661915
146	0.4583306857
147	0.4579634764
148	0.4577760537
149	0.456405531
150	0.4563748095
151	0.4563640916
152	0.4553214274
153	0.454518524
154	0.4540978489
155	0.4530930971
156	0.452741362
157	0.4524449958
158	0.4518736497
159	0.4516276965
160	0.4515278268
161	0.4505356189
162	0.4497946889
163	0.4497907974
164	0.4494357135
165	0.4483774035
166	0.4480757318
167	0.448074389
168	0.4479947771
169	0.4478613673
170	0.4477682171
171	0.4477401703
172	0.4477299886
173	0.4477289598
174	0.4477080074
175	0.4472215302
176	0.4471431286
177	0.4463237944
178	0.4461035235
179	0.4455073724
180	0.4439893839
181	0.4438602728
182	0.4438536194
183	0.4428310615
184	0.4428014174
185	0.4421395185
186	0.4421330072
187	0.4399071576
188	0.4383422584
189	0.4380184035
190	0.4370308686
191	0.437018267
192	0.4367445825
193	0.4359875512
194	0.4359347043
195	0.4350263399
196	0.4349361483
197	0.4349358033
198	0.4349012756
199	0.4348375996
